ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At
"R2HY79Z00JWU4Y","Amazon Customer","https://www.amazon.in/gp/profile/amzn1.account.AF73EALR3GWCUEW3BGKK3DKBKQFA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Awesome!","4","4.0 out of 5 stars","It is very handy to use in your Wardrobes, rooms, & Toilets. Keep long lasting fresh fragrance in & around, where it is placed. Recommended!","https://www.amazon.in/gp/customer-reviews/R2HY79Z00JWU4Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 6 November 2019","","Verified Purchase","","","","","2025-07-24T06:35:10.336Z"
"RKWZ06Z975YZX","Manish Panchal","https://www.amazon.in/gp/profile/amzn1.account.AFPONYGTA3MHATOXVQEXP2JCD5DA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Thank you so very much nice","4","4.0 out of 5 stars","Thank you so very much nice","https://www.amazon.in/gp/customer-reviews/RKWZ06Z975YZX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 27 September 2022","","Verified Purchase","","","","","2025-07-24T06:35:10.336Z"
"RQO90KTIQF5EM","Jojo P Guhathakurta","https://www.amazon.in/gp/profile/amzn1.account.AGKFP4Y25F4ZAUYKZCLZITNV4EOA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Camphor","4","4.0 out of 5 stars","The scent has reduced considerably since my last purchase .","https://www.amazon.in/gp/customer-reviews/RQO90KTIQF5EM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 30 August 2021","","Verified Purchase","","","","","2025-07-24T06:35:10.336Z"
"R3MVWHAUJJKEBT","Amit Kumar Sen","https://www.amazon.in/gp/profile/amzn1.account.AGLB3MSO3VKM2276CSL3XRFKDBFA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Average and expensive","4","4.0 out of 5 stars","No specific comment","https://www.amazon.in/gp/customer-reviews/R3MVWHAUJJKEBT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 26 April 2022","","Verified Purchase","","","","","2025-07-24T06:35:10.337Z"
"RP24CMXE2SZM6","abhijit","https://www.amazon.in/gp/profile/amzn1.account.AERNNAX5L5F6DTG33V6FEZOI5IRA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Not strong fragrance as claimed","4","4.0 out of 5 stars","i have hung it in the toilet bath, but the fragrance is barely felt. Very mild","https://www.amazon.in/gp/customer-reviews/RP24CMXE2SZM6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 16 September 2020","","Verified Purchase","","","","","2025-07-24T06:35:10.337Z"
"R5K8UR8YV9PQJ","Amazon Customer","https://www.amazon.in/gp/profile/amzn1.account.AF37QC37BDPONQ6EUXOQLSFFFKNQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Can reduce price","4","4.0 out of 5 stars","Price too expensive i think","https://www.amazon.in/gp/customer-reviews/R5K8UR8YV9PQJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 3 May 2021","","Verified Purchase","","","","","2025-07-24T06:35:10.337Z"
"RN0QB5R2EV72Z","shalini","https://www.amazon.in/gp/profile/amzn1.account.AECSGTSYGYO5L5ELPPNI2LSGQXKA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Happy with the product!","4","4.0 out of 5 stars","Very Good product! Just the string/elastic cord needs to be a little bigger and/or more stretchable so that it becomes easy for it's placement.","https://www.amazon.in/gp/customer-reviews/RN0QB5R2EV72Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 26 November 2018","","Verified Purchase","","","","","2025-07-24T06:35:10.337Z"
"RXEVXWR751KI5","pongo","https://www.amazon.in/gp/profile/amzn1.account.AGXKCDFW44AH5OUSKB75WBITGTPA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Good Product","4","4.0 out of 5 stars","A good product but its effectiveness against mosquitos is unknown and so far No conclusion. However it freshens the room and cupboasrds","https://www.amazon.in/gp/customer-reviews/RXEVXWR751KI5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 9 December 2018","","Verified Purchase","","","","","2025-07-24T06:35:10.337Z"
"RA2YUD4L8OWHU","Vipul Aggarwal","https://www.amazon.in/gp/profile/amzn1.account.AEN3DKG2PKYYVTERH37CKJ46SNBA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Nice product","4","4.0 out of 5 stars","So far so good. Nice packaging and great smell. Hopefully it turns out to be very useful. Quite pleasing to nose and effective.","https://www.amazon.in/gp/customer-reviews/RA2YUD4L8OWHU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 16 November 2018","","Verified Purchase","","","","","2025-07-24T06:35:10.337Z"
"R26YTAK8ZQISS1","Customer","https://www.amazon.in/gp/profile/amzn1.account.AFVJLUWUOP4ZA2FCUNOUPMKH635Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Good product keeps room fresh","4","4.0 out of 5 stars","Overall product concept is good","https://www.amazon.in/gp/customer-reviews/R26YTAK8ZQISS1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 16 November 2020","","Verified Purchase","","","","","2025-07-24T06:35:10.337Z"
"R3JOY2PKLU3G4I","Divya","https://www.amazon.in/gp/profile/amzn1.account.AGIQTZU6UXRWETQNMVYKIZJCP5OA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Great Product!","4","4.0 out of 5 stars","At least keeps most of them at bay.. Not all though! Some tough ones stay around!","https://www.amazon.in/gp/customer-reviews/R3JOY2PKLU3G4I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 30 March 2019","","Verified Purchase","","","","","2025-07-24T06:35:14.952Z"
"R38SRO1RX3J6GV","Somesh Saini","https://www.amazon.in/gp/profile/amzn1.account.AHF3WRVLY4CUZPGCYU2VX3RIZKDA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Good product and options","4","4.0 out of 5 stars","Good product","https://www.amazon.in/gp/customer-reviews/R38SRO1RX3J6GV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 8 November 2020","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"RE1DXJQUMH11Q","RCG","https://www.amazon.in/gp/profile/amzn1.account.AFXIESBR2TNLCYPHRTXGG6EYOO6Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Good","4","4.0 out of 5 stars","Good","https://www.amazon.in/gp/customer-reviews/RE1DXJQUMH11Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 17 July 2020","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"RVP1XKTEO35PE","Rajesh","https://www.amazon.in/gp/profile/amzn1.account.AHVUFCBNTQAF46QVT56EPXRJBVNQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","good","4","4.0 out of 5 stars","good product","https://www.amazon.in/gp/customer-reviews/RVP1XKTEO35PE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 31 December 2019","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"R1W4B8RVZXBSP3","AR","https://www.amazon.in/gp/profile/amzn1.account.AF7NRVIG3FUOF3MY2VDVHMF7T2CQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Go for it","4","4.0 out of 5 stars","Great product for cupboards","https://www.amazon.in/gp/customer-reviews/R1W4B8RVZXBSP3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 18 October 2019","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"R1XD90B4U44XFK","Kasi Viswanadha Raju Potturi","https://www.amazon.in/gp/profile/amzn1.account.AHNFKWVNIIGOLJEQODTPODMAG2RA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Good product","4","4.0 out of 5 stars","Feeling when entering into car","https://www.amazon.in/gp/customer-reviews/R1XD90B4U44XFK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 6 May 2019","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"R1PM28D48MKREC","Asokan K.","https://www.amazon.in/gp/profile/amzn1.account.AHKLSHWYYCGNXNIBZE6PBYZ4APQA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Keeps clothes fresh smelling","4","4.0 out of 5 stars","Works like magic.","https://www.amazon.in/gp/customer-reviews/R1PM28D48MKREC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 23 July 2019","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"R36LRFVW4SVMUK","Amazon Customer","https://www.amazon.in/gp/profile/amzn1.account.AFZTH2D74SUZC3FWG7SKCCR4YHOQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Better products","4","4.0 out of 5 stars","It's good","https://www.amazon.in/gp/customer-reviews/R36LRFVW4SVMUK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 22 July 2019","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"R20BLM3SRCFP1C","amit sethi","https://www.amazon.in/gp/profile/amzn1.account.AG7M5Y7TIWNGVPBNVCQQJFSNIZ5A/ref=cm_cr_getr_d_gw_btm?ie=UTF8","good product","4","4.0 out of 5 stars","i liked this product and worth buying.","https://www.amazon.in/gp/customer-reviews/R20BLM3SRCFP1C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 6 September 2018","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"
"R1Y3TEXXNAT0X","MARIAPPAN.KPA","https://www.amazon.in/gp/profile/amzn1.account.AFYNS4S7BD25ULU4LRMOOAJ6H3KQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","Camphor","4","4.0 out of 5 stars","OK but expensive.","https://www.amazon.in/gp/customer-reviews/R1Y3TEXXNAT0X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8","Reviewed in India on 8 March 2019","","Verified Purchase","","","","","2025-07-24T06:35:14.953Z"